work_year,experience_level,salary_in_usd,job_category
2024,SE,750000,BI & Analytics
2024,SE,750000,Data Analyst
2023,MI,750000,Machine Learning
2023,MI,750000,Data Engineer
2023,SE,750000,Data Scientist
2024,SE,720000,Data Scientist
2024,MI,720000,BI & Analytics
2024,SE,720000,BI & Analytics
2024,SE,720000,Data Scientist
2024,MI,720000,AI Research
2024,MI,720000,Research & Science
2024,MI,720000,AI Research
2023,SE,700000,BI & Analytics
2023,MI,700000,BI & Analytics
2024,SE,600000,Research & Science
2024,SE,600000,Data Operations
2024,SE,600000,AI Research
2024,SE,550000,Machine Learning
2024,SE,550000,Machine Learning
2024,MI,530000,Machine Learning
2024,SE,500000,Research & Science
2024,SE,500000,Research & Science
2024,SE,484000,Research & Science
2023,EX,465000,Data Engineer
2024,SE,450000,AI Research
2020,MI,450000,Research & Science
2024,SE,449000,AI Specialist
2024,EX,448000,Data Management
2024,MI,440000,AI Research
2024,MI,440000,AI Research
2024,MI,440000,Machine Learning
2024,MI,440000,AI Research
2024,SE,440000,Research & Science
2024,MI,440000,AI Research
2024,MI,440000,Research & Science
2024,SE,440000,AI Research
2024,MI,440000,AI Research
2024,MI,440000,AI Research
2024,SE,440000,Research & Science
2024,SE,440000,Research & Science
2024,SE,440000,Research & Science
2024,SE,440000,AI Research
2024,EX,438000,Data Management
2021,MI,423000,Machine Learning
2024,SE,418000,Machine Learning
2024,SE,418000,Machine Learning
2024,SE,414000,Machine Learning
2024,SE,414000,Research & Science
2024,EX,408500,Machine Learning
2023,MI,405000,Research & Science
2022,SE,405000,Leadership & Management
2024,SE,400000,Software & Data Architecture
2024,MI,400000,Machine Learning
2024,SE,398900,Leadership & Management
2024,SE,398900,Leadership & Management
2023,SE,392000,Machine Learning
2024,SE,386100,Machine Learning
2024,MI,385000,Software & Data Architecture
2024,SE,385000,Machine Learning
2024,SE,385000,Data Engineer
2024,MI,385000,Data Scientist
2023,EX,385000,Data Engineer
2023,SE,385000,Data Engineer
2023,SE,385000,AI Research
2023,SE,385000,Data Engineer
2023,SE,385000,Software & Data Architecture
2023,SE,385000,Machine Learning
2023,SE,385000,Data Analyst
2023,SE,383910,Machine Learning
2024,SE,382320,Research & Science
2024,SE,381500,Software & Data Architecture
2022,SE,380000,Data Scientist
2023,SE,376080,Software & Data Architecture
2023,EX,375500,Leadership & Management
2022,SE,375000,Software & Data Architecture
2022,SE,375000,Leadership & Management
2023,SE,374000,Research & Science
2024,EX,373000,Data Management
2023,SE,372000,Machine Learning
2023,SE,370000,Machine Learning
2023,SE,370000,Research & Science
2023,SE,370000,AI Research
2023,SE,370000,Machine Learning
2023,SE,370000,Data Engineer
2023,SE,370000,Data Scientist
2023,SE,370000,AI Research
2023,SE,370000,Research & Science
2023,SE,370000,AI Research
2023,SE,370000,AI Research
2023,SE,370000,Research & Science
2023,SE,370000,Data Scientist
2023,SE,370000,Research & Science
