work_year,experience_level,employment_type,salary_in_usd,employee_residence,remote_ratio,company_location,job_category
2021,MI,FT,40038,CL,100,CL,Data Scientist
2021,MI,FT,36259,HU,50,US,Data Analyst
2020,MI,FT,35735,HU,50,HU,Data Scientist
2021,MI,FT,77364,JP,50,JP,Machine Learning
2022,SE,FT,95386,IN,50,IN,Machine Learning
2021,MI,FT,63711,JP,50,JP,Machine Learning
2021,SE,FT,94665,IN,50,IN,Data Management
2022,EN,FT,17684,HU,100,HU,Data Scientist
2022,EX,FT,76309,IN,50,IN,Data Management
2022,EN,FT,41809,JP,50,JP,AI Research
2023,MI,FT,60805,IN,50,IN,Data Management
2023,EN,FT,60207,IN,0,IN,AI Research
2021,SE,FT,66265,IN,0,IN,Machine Learning
2022,SE,FT,56723,IN,0,IN,Data Scientist
2020,EN,FT,41689,JP,100,JP,Data Engineer
2022,MI,FT,53416,IN,100,ID,Data Scientist
2023,EN,FT,48644,IN,100,DE,Machine Learning
2021,SE,FT,54094,IN,100,IN,Data Scientist
2021,SE,FT,54094,IN,50,US,Data Management
2023,SE,FT,43779,IN,100,IN,Data Management
2024,MI,FT,39615,IN,50,IN,Data Analyst
2023,MI,FT,38915,IN,50,IN,Data Management
2023,MI,FT,38915,IN,50,IN,Data Management
2023,SE,FT,36483,IN,50,IN,Data Management
2022,SE,FT,38154,IN,100,IN,Software & Data Architecture
2021,SE,FT,40570,IN,50,IN,Data Scientist
2020,MI,FT,40481,IN,0,IN,Data Scientist
2022,MI,FT,35610,IN,50,IN,Data Engineer
2023,MI,FT,32834,IN,100,IN,Machine Learning
2022,MI,FT,31795,IN,100,US,Data Scientist
2021,MI,FT,33808,IN,0,IN,Data Scientist
2022,MI,FL,30523,IN,100,IN,Machine Learning
2022,MI,FT,30523,IN,100,IN,Data Scientist
2024,MI,FT,27611,IN,100,IN,Data Engineer
2021,EN,FT,30428,IN,100,IN,Data Engineer
2021,EN,FT,29751,IN,50,IN,Data Scientist
2021,EN,FT,28399,IN,100,IN,Data Scientist
2023,EN,FT,24322,IN,100,CH,AI Research
2023,MI,FT,24322,IN,50,IN,Software & Data Architecture
2022,EN,FT,22892,IN,50,IN,Data Scientist
2021,SE,FT,24342,IN,100,IN,Machine Learning
2023,EN,FT,20673,IN,50,IN,Data Analyst
2023,MI,FT,20673,IN,100,IN,Data Scientist
2021,MI,FT,22611,IN,0,IN,Data Engineer
2022,MI,FT,20984,IN,50,IN,Machine Learning
2021,EN,FT,21637,IN,50,IN,Data Engineer
2023,SE,FT,417937,IL,0,IL,AI Specialist
2023,MI,FT,18241,IN,50,IN,Data Analyst
2021,MI,FT,19609,IN,100,IN,Data Analyst
2023,MI,FT,17511,IN,50,SG,Leadership & Management
2022,MI,FT,18314,IN,50,IN,Data Analyst
2023,EN,FT,17025,IN,100,IN,Data Engineer
2023,MI,FT,17025,IN,100,IN,Data Scientist
2022,MI,FT,17805,IN,100,IN,Data Analyst
2022,EN,FT,17805,IN,100,IN,Data Scientist
2023,MI,FT,16417,IN,100,IN,Data Analyst
2021,EN,FT,18053,IN,100,AS,AI Specialist
2023,SE,FT,15809,IN,100,IN,Data Analyst
2022,MI,FT,15897,IN,100,IN,Computer Vision & Deep Learning
2021,MI,FT,16904,IN,50,IN,Data Analyst
2021,MI,FT,16904,IN,100,IN,Data Scientist
2021,EN,FT,16228,IN,100,IN,Data Engineer
2023,EX,FT,100416,NO,50,NO,Data Scientist
2023,MI,FT,15680,PH,50,PH,Data Analyst
2023,MI,FT,24613,TH,50,TH,Data Scientist
2024,MI,FT,800000,CA,100,CA,AI Specialist
2023,SE,FT,76508,NO,50,NO,Data Scientist
2024,EN,FT,774000,MX,0,MX,Data Analyst
2024,SE,FT,750000,US,0,US,BI & Analytics
2024,SE,FT,750000,US,0,US,Data Analyst
2023,MI,FT,750000,US,0,US,Machine Learning
2023,MI,FT,750000,US,0,US,Data Engineer
2023,SE,FT,750000,US,0,US,Data Scientist
2024,SE,FT,720000,US,100,US,Data Scientist
2024,MI,FT,720000,US,0,US,BI & Analytics
2024,SE,FT,720000,US,0,US,BI & Analytics
2024,SE,FT,720000,US,0,US,Data Scientist
2024,MI,FT,720000,US,0,US,AI Research
2024,MI,FT,720000,US,0,US,Research & Science
2024,MI,FT,720000,US,0,US,AI Research
2020,SE,FT,33511,MX,0,MX,Data Engineer
2023,SE,FT,700000,US,100,US,BI & Analytics
2023,MI,FT,700000,US,100,US,BI & Analytics
2023,MI,FT,34482,ZA,50,ZA,Software & Data Architecture
2024,SE,FT,600000,US,0,US,Research & Science
2024,SE,FT,600000,US,0,US,Data Operations
2024,SE,FT,600000,US,0,US,AI Research
2024,SE,FT,550000,US,0,US,Machine Learning
2024,SE,FT,550000,US,0,US,Machine Learning
2024,MI,FT,530000,US,0,US,Machine Learning
2023,MI,FT,65058,HK,0,HK,Data Scientist
2024,SE,FT,500000,US,100,US,Research & Science
2024,SE,FT,500000,US,100,US,Research & Science
2024,SE,FT,484000,US,100,US,Research & Science
2023,EX,FT,465000,US,0,US,Data Engineer
2024,SE,FT,450000,US,0,US,AI Research
2020,MI,FT,450000,US,0,US,Research & Science
2024,SE,FT,449000,US,0,US,AI Specialist
2024,EX,FT,448000,US,100,US,Data Management
2024,MI,FT,440000,US,0,US,AI Research
2024,MI,FT,440000,US,0,US,AI Research
2024,MI,FT,440000,US,0,US,Machine Learning
2024,MI,FT,440000,US,0,US,AI Research
2024,SE,FT,440000,US,0,US,Research & Science
2024,MI,FT,440000,US,0,US,AI Research
2024,MI,FT,440000,US,0,US,Research & Science
2024,SE,FT,440000,US,0,US,AI Research
2024,MI,FT,440000,US,0,US,AI Research
2024,MI,FT,440000,US,0,US,AI Research
2024,SE,FT,440000,US,0,US,Research & Science
2024,SE,FT,440000,US,0,US,Research & Science
2024,SE,FT,440000,US,0,US,Research & Science
2024,SE,FT,440000,US,0,US,AI Research
2024,EX,FT,438000,US,0,US,Data Management
2021,MI,FT,423000,US,50,US,Machine Learning
2024,SE,FT,418000,US,100,US,Machine Learning
2024,SE,FT,418000,US,100,US,Machine Learning
2021,EX,CT,416000,US,100,US,Data Scientist
2024,SE,FT,414000,US,0,US,Machine Learning
2024,SE,FT,414000,US,0,US,Research & Science
2020,SE,FT,412000,US,100,US,Data Scientist
2023,SE,FT,303387,CA,100,CA,Computer Vision & Deep Learning
2024,EX,FT,408500,US,0,US,Machine Learning
2023,MI,FT,405000,US,0,US,Research & Science
2022,SE,FT,405000,US,100,US,Leadership & Management
2024,SE,FT,400000,US,100,US,Software & Data Architecture
2024,MI,FT,400000,US,0,US,Machine Learning
2024,SE,FT,398900,US,0,US,Leadership & Management
2024,SE,FT,398900,US,0,US,Leadership & Management
2023,SE,FT,392000,US,0,US,Machine Learning
2024,SE,FT,386100,US,0,US,Machine Learning
2024,MI,FT,385000,US,0,US,Software & Data Architecture
2024,SE,FT,385000,US,0,US,Machine Learning
2024,SE,FT,385000,US,0,US,Data Engineer
2024,MI,FT,385000,US,0,US,Data Scientist
2023,EX,FT,385000,US,0,US,Data Engineer
2023,SE,FT,385000,US,0,US,Data Engineer
2023,SE,FT,385000,US,0,US,AI Research
2023,SE,FT,385000,US,0,US,Data Engineer
2023,SE,FT,385000,US,0,US,Software & Data Architecture
2023,SE,FT,385000,US,100,US,Machine Learning
2023,SE,FT,385000,US,0,US,Data Analyst
2023,SE,FT,383910,US,0,US,Machine Learning
2024,SE,FT,382320,US,0,US,Research & Science
2024,SE,FT,381500,US,0,US,Software & Data Architecture
2022,SE,FT,380000,US,100,US,Data Scientist
2023,SE,FT,376080,US,100,US,Software & Data Architecture
2023,EX,FT,375500,US,100,US,Leadership & Management
2022,SE,FT,375000,US,100,US,Software & Data Architecture
2022,SE,FT,375000,US,50,US,Leadership & Management
2023,SE,FT,374000,US,0,US,Research & Science
2024,EX,FT,373000,US,100,US,Data Management
2023,SE,FT,372000,US,0,US,Machine Learning
2023,SE,FT,370000,US,0,US,Machine Learning
2023,SE,FT,370000,US,0,US,Research & Science
2023,SE,FT,370000,US,0,US,AI Research
2023,SE,FT,370000,US,0,US,Machine Learning
2023,SE,FT,370000,US,0,US,Data Engineer
2023,SE,FT,370000,US,0,US,Data Scientist
2023,SE,FT,370000,US,0,US,AI Research
2023,SE,FT,370000,US,0,US,Research & Science
2023,SE,FT,370000,US,0,US,AI Research
2023,SE,FT,370000,US,0,US,AI Research
2023,SE,FT,370000,US,0,US,Research & Science
2023,SE,FT,370000,US,0,US,Data Scientist
2023,SE,FT,370000,US,0,US,Research & Science
2023,SE,FT,365630,US,0,US,Machine Learning
2024,SE,FT,365100,US,0,US,Machine Learning
2024,SE,FT,363000,US,0,US,Software & Data Architecture
2024,SE,FT,363000,US,0,US,Software & Data Architecture
2024,SE,FT,360000,US,0,US,Research & Science
2024,MI,FT,360000,US,0,US,AI Research
2023,SE,FT,360000,US,0,US,Machine Learning
2023,SE,FT,18381,TR,100,TR,BI & Analytics
2024,MI,FT,359400,US,100,US,Research & Science
2024,MI,FT,359400,US,100,US,Research & Science
2024,SE,FT,359170,US,0,US,Data Scientist
2023,SE,FT,359170,US,0,US,Data Scientist
2023,SE,FT,359170,US,0,US,Data Scientist
2023,SE,FT,359170,US,0,US,Data Scientist
2023,SE,FT,359170,US,0,US,Data Scientist
2023,SE,FT,359170,US,0,US,Data Scientist
2023,SE,FT,359170,US,0,US,Data Scientist
2023,SE,FT,359170,US,0,US,Data Scientist
2023,SE,FT,359170,US,0,US,Data Scientist
2023,SE,FT,359170,US,0,US,Data Scientist
2023,SE,FT,359170,US,0,US,Data Scientist
2024,SE,FT,357900,US,0,US,Machine Learning
2023,SE,FT,354200,US,100,US,Software & Data Architecture
2023,EX,FT,353200,US,0,US,Leadership & Management
2023,EX,FT,353200,US,0,US,Leadership & Management
2023,SE,FT,351000,US,0,US,Computer Vision & Deep Learning
2023,EN,FT,350000,US,0,US,AI Research
2023,EX,FT,350000,US,100,US,Data Engineer
2023,SE,FT,350000,US,0,US,Machine Learning
2023,SE,FT,350000,US,0,US,Leadership & Management
2023,MI,FT,430640,GB,0,GB,BI & Analytics
2023,SE,FT,350000,US,0,US,Research & Science
2022,MI,FT,430967,GB,0,GB,Data Analyst
2022,SE,FT,350000,US,100,US,Data Scientist
2022,SE,FT,345600,US,0,US,Software & Data Architecture
2024,SE,FT,345400,US,0,US,BI & Analytics
2024,SE,FT,345400,US,0,US,Machine Learning
2024,SE,FT,345400,US,0,US,Machine Learning
2024,SE,FT,345000,US,0,US,Research & Science
2023,SE,FT,345000,US,0,US,Research & Science
2023,SE,FT,342810,US,0,US,Computer Vision & Deep Learning
2024,SE,FT,342400,US,0,US,Leadership & Management
2023,SE,FT,342300,US,0,US,Machine Learning
2024,SE,FT,340000,US,0,US,Machine Learning
2024,SE,FT,340000,US,100,US,Research & Science
2023,SE,FT,340000,US,0,US,Machine Learning
2023,MI,FT,340000,US,100,US,Research & Science
2024,SE,FT,339250,US,0,US,AI Research
2024,SE,FT,337300,US,0,US,Research & Science
2024,SE,FT,337300,US,0,US,Research & Science
2024,SE,FT,337300,US,0,US,Research & Science
2024,SE,FT,337300,US,0,US,Research & Science
2023,EX,FT,336400,US,0,US,Leadership & Management
2023,SE,FT,336300,US,0,US,Machine Learning
2024,EX,FT,334075,CA,0,CA,Data Engineer
2024,SE,FT,333500,US,0,US,Research & Science
2024,SE,FT,333500,US,0,US,Machine Learning
2024,SE,FT,333500,US,0,US,AI Research
2024,SE,FT,333500,US,0,US,AI Research
2023,SE,FT,333500,US,0,US,Data Engineer
2023,SE,FT,333500,US,0,US,Machine Learning
2023,EX,FT,333500,US,0,US,Data Engineer
2024,SE,FT,331640,US,0,US,Machine Learning
2024,SE,FT,331640,US,0,US,Data Engineer
2024,SE,FT,331640,US,0,US,Machine Learning
2024,SE,FT,331640,US,0,US,Machine Learning
2023,SE,FT,331640,US,0,US,Machine Learning
2023,SE,FT,331640,US,0,US,Machine Learning
2023,SE,FT,331640,US,0,US,Machine Learning
2023,SE,FT,331640,US,0,US,Machine Learning
2023,SE,FT,331640,US,0,US,Computer Vision & Deep Learning
2023,SE,FT,331640,US,0,US,Machine Learning
2023,SE,FT,331640,US,0,US,Data Engineer
2023,SE,FT,331640,US,0,US,Machine Learning
2023,SE,FT,331640,US,0,US,Machine Learning
2023,SE,FT,331640,US,0,US,Data Engineer
2023,SE,FT,331640,US,0,US,Computer Vision & Deep Learning
2023,SE,FT,331640,US,0,US,Machine Learning
2023,SE,FT,331640,US,0,US,Machine Learning
2023,SE,FT,331640,US,0,US,Machine Learning
2023,SE,FT,330000,US,100,US,Machine Learning
2023,EX,FT,330000,US,0,US,Data Management
2023,SE,FT,330000,US,0,US,Machine Learning
2023,SE,FT,330000,US,0,US,Machine Learning
2023,SE,FT,330000,US,0,US,AI Specialist
2023,SE,FT,330000,US,0,US,AI Specialist
2023,SE,FT,330000,US,0,US,AI Specialist
2023,SE,FT,330000,US,0,US,AI Specialist
2023,EX,FT,330000,US,0,US,Data Management
2023,SE,FT,329700,US,0,US,Data Scientist
2023,EX,FT,329500,US,100,US,Leadership & Management
2023,EX,FT,329500,US,100,US,Leadership & Management
2023,EX,FT,329500,US,0,US,Leadership & Management
2023,EX,FT,329500,US,0,US,Leadership & Management
2024,SE,FT,329200,CA,100,CA,BI & Analytics
2023,SE,FT,328400,US,100,US,Machine Learning
2023,SE,FT,328133,US,0,US,Machine Learning
2024,MI,FT,328000,US,0,US,Data Management
2023,SE,FT,328000,US,0,US,Data Management
2024,MI,FT,325000,US,0,US,Data Analyst
2023,SE,FT,399880,GB,50,GB,BI & Analytics
2020,EX,FT,325000,US,100,US,Leadership & Management
2024,SE,FT,324000,US,0,US,Machine Learning
2024,SE,FT,324000,US,0,US,Machine Learning
2024,SE,FT,324000,US,0,US,Machine Learning
2024,SE,FT,324000,US,0,US,Machine Learning
2024,SE,FT,324000,US,0,US,Machine Learning
2024,SE,FT,324000,US,0,US,Machine Learning
2024,SE,FT,324000,US,0,US,Machine Learning
2024,SE,FT,324000,US,0,US,Data Scientist
2024,SE,FT,324000,US,0,US,Machine Learning
2023,SE,FT,324000,US,0,US,Machine Learning
2023,SE,FT,324000,US,0,US,Machine Learning
2023,SE,FT,324000,US,0,US,Machine Learning
2023,SE,FT,324000,US,0,US,Data Scientist
2023,SE,FT,324000,US,0,US,Machine Learning
2023,SE,FT,324000,US,0,US,Machine Learning
2022,EX,FT,324000,US,100,US,Data Engineer
2024,SE,FT,323300,US,0,US,Research & Science
2023,SE,FT,323300,US,0,US,Research & Science
2023,SE,FT,323300,US,0,US,Machine Learning
2023,SE,FT,323300,US,0,US,Machine Learning
2023,SE,FT,323300,US,0,US,Data Scientist
2023,SE,FT,323300,US,0,US,Data Scientist
2023,SE,FT,323300,US,0,US,Machine Learning
2023,SE,FT,323300,US,0,US,Data Scientist
2023,SE,FT,323300,US,0,US,Data Scientist
2023,SE,FT,323300,US,0,US,Research & Science
2023,SE,FT,323300,US,0,US,Machine Learning
2024,SE,FT,322000,US,0,US,Data Scientist
2024,SE,FT,322000,US,100,US,Machine Learning
2024,SE,FT,322000,US,100,US,Machine Learning
2024,MI,FT,321830,US,0,US,Data Operations
2024,SE,FT,321000,US,0,US,Research & Science
2024,SE,FT,321000,US,100,US,Research & Science
2023,SE,FT,319000,US,0,US,Machine Learning
2023,SE,FT,319000,US,100,US,Machine Learning
2023,SE,FT,318300,US,100,US,Machine Learning
2023,SE,FT,318300,US,100,US,Machine Learning
2023,SE,FT,317070,US,0,US,Machine Learning
2023,SE,FT,317070,US,0,US,Data Scientist
2024,SE,FT,317000,US,0,US,AI Specialist
2024,SE,FT,316900,US,0,US,Data Engineer
2023,SE,FT,316000,US,0,US,Data Scientist
2023,SE,FT,316000,US,0,US,Data Scientist
2023,SE,FT,316000,US,0,US,Data Scientist
2023,SE,FT,315850,US,0,US,Machine Learning
2023,SE,FT,315850,US,0,US,Machine Learning
2023,SE,FT,315300,US,100,US,Machine Learning
2024,SE,FT,315000,US,100,US,Machine Learning
2022,SE,FT,315000,US,100,US,Data Engineer
2024,SE,FT,314100,US,0,US,Data Scientist
2023,EX,FT,314100,US,0,US,Data Management
2024,EX,FT,314000,CA,100,CA,Data Engineer
2024,SE,FT,313000,US,100,US,Data Engineer
2024,SE,FT,313000,US,100,US,Data Engineer
2024,EX,FT,312287,US,0,US,Data Engineer
2023,SE,FT,311000,US,0,US,Machine Learning
2024,SE,FT,310270,US,0,US,Data Scientist
2023,SE,FT,310270,US,0,US,Data Scientist
2023,SE,FT,310270,US,0,US,Data Scientist
2023,SE,FT,310270,US,0,US,Data Scientist
2023,SE,FT,310270,US,0,US,Data Scientist
2023,SE,FT,310270,US,0,US,Data Scientist
2024,SE,FT,310000,US,0,US,Machine Learning
2024,SE,FT,310000,US,0,US,Machine Learning
2024,SE,FT,310000,US,0,US,Machine Learning
2024,SE,FT,310000,US,0,US,AI Research
2024,MI,FT,310000,US,0,US,Data Scientist
2023,MI,FT,310000,US,0,US,Data Scientist
2023,SE,FT,310000,US,100,US,Software & Data Architecture
2023,SE,FT,310000,US,0,US,AI Research
2023,SE,FT,310000,US,0,US,Data Engineer
2023,EX,FT,310000,US,100,US,Data Engineer
2023,EX,FT,310000,US,100,US,Data Engineer
2023,EX,FT,310000,US,100,US,Data Engineer
2023,EX,FT,310000,US,100,US,Data Engineer
2023,SE,FT,310000,US,0,US,Data Engineer
2022,EX,FT,310000,US,100,US,Data Engineer
2022,EX,FT,310000,US,100,US,Data Engineer
2023,SE,FT,309400,US,0,US,Research & Science
2023,SE,FT,309400,US,0,US,Research & Science
2023,SE,FT,309400,US,0,US,Research & Science
2023,SE,FT,309400,US,0,US,Research & Science
2023,SE,FT,309400,US,0,US,Research & Science
2023,SE,FT,309400,US,0,US,Research & Science
2023,SE,FT,309400,US,0,US,Research & Science
2024,SE,FT,309000,US,0,US,Machine Learning
2024,SE,FT,309000,US,0,US,Machine Learning
2024,SE,FT,309000,US,0,US,Machine Learning
2023,SE,FT,309000,US,0,US,Machine Learning
2023,SE,FT,309000,US,0,US,Machine Learning
2023,SE,FT,309000,US,0,US,Machine Learning
2023,SE,FT,309000,US,0,US,Machine Learning
2023,SE,FT,309000,US,0,US,Machine Learning
2024,MI,FT,308000,US,0,US,Data Engineer
2023,SE,FT,308000,US,0,US,AI Research
2023,SE,FT,308000,US,0,US,Data Scientist
2023,SE,FT,308000,US,0,US,Data Scientist
2023,SE,FT,308000,US,0,US,AI Research
2024,SE,FT,307100,US,100,US,Machine Learning
2023,SE,FT,307100,US,0,US,Data Scientist
2023,SE,FT,306400,CA,0,CA,Machine Learning
2023,SE,FT,306000,US,100,US,Software & Data Architecture
2023,SE,FT,306000,US,0,US,AI Research
2023,SE,FT,306000,US,100,US,Software & Data Architecture
2023,SE,FT,306000,US,100,US,Software & Data Architecture
2023,SE,FT,306000,US,100,US,Software & Data Architecture
2023,SE,FT,305600,US,0,US,Data Scientist
2023,SE,FT,305600,US,0,US,Machine Learning
2023,SE,FT,305600,US,0,US,Machine Learning
2023,SE,FT,305600,US,0,US,Data Scientist
2023,SE,FT,305100,US,100,US,AI Specialist
2023,SE,FT,305000,US,0,US,Machine Learning
2023,SE,FT,305000,US,100,US,Data Engineer
2024,SE,FT,304750,US,0,US,Data Engineer
2024,SE,FT,304750,US,0,US,Machine Learning
2023,SE,FT,304750,US,0,US,Data Engineer
2023,SE,FT,304200,US,0,US,Data Engineer
2023,SE,FT,304000,US,100,US,Machine Learning
2024,SE,FT,303400,US,100,US,Machine Learning
2024,SE,FT,303400,US,0,US,Machine Learning
2024,SE,FT,303400,CA,100,CA,Machine Learning
2024,SE,FT,303400,US,100,US,Machine Learning
2024,SE,FT,303050,US,0,US,Research & Science
2023,SE,FT,303050,US,0,US,Research & Science
2023,SE,FT,303050,US,0,US,Research & Science
2023,SE,FT,303050,US,0,US,Research & Science
2024,SE,FT,302840,US,0,US,Research & Science
2023,SE,FT,302000,US,0,US,Software & Data Architecture
2023,SE,FT,300240,US,0,US,Data Scientist
2023,SE,FT,300240,US,0,US,Data Scientist
2023,SE,FT,300105,US,0,US,Software & Data Architecture
2024,SE,FT,300000,US,0,US,MLOps & Infrastructure
2024,SE,FT,300000,US,0,US,Data Engineer
2024,MI,FT,300000,US,0,US,Research & Science
2024,EN,FT,300000,US,0,US,Research & Science
2024,EN,FT,300000,US,0,US,Research & Science
2024,EN,FT,300000,US,100,US,Research & Science
2024,SE,FT,300000,GB,0,GB,AI Research
2024,SE,FT,300000,US,0,US,Machine Learning
2024,SE,FT,300000,US,100,US,Machine Learning
2024,SE,FT,300000,US,0,US,Machine Learning
2024,SE,FT,300000,US,0,US,Machine Learning
2024,SE,FT,300000,US,0,US,Machine Learning
2023,SE,FT,300000,US,0,US,AI Research
2023,SE,FT,300000,US,100,US,Data Engineer
2023,SE,FT,300000,US,0,US,Machine Learning
2023,SE,FT,300000,US,0,US,Machine Learning
2023,SE,FT,300000,US,0,US,Data Scientist
2023,SE,FT,300000,US,0,US,Machine Learning
2023,SE,FT,300000,US,100,US,Data Engineer
2023,MI,FT,300000,US,0,US,Machine Learning
2023,SE,FT,300000,US,0,US,Data Engineer
2023,SE,FT,300000,US,0,US,Data Engineer
2023,MI,FT,300000,US,0,US,AI Research
2023,MI,FT,300000,US,0,US,AI Research
2023,MI,FT,369120,GB,0,GB,BI & Analytics
2023,MI,FT,300000,US,0,US,Research & Science
2023,SE,FT,300000,US,0,US,Data Scientist
2023,SE,FT,300000,US,0,US,Data Engineer
2023,SE,FT,300000,US,0,US,Research & Science
2023,SE,FT,300000,US,0,US,Machine Learning
2023,MI,FT,369120,GB,0,GB,Machine Learning
2023,MI,FT,369120,GB,0,GB,Data Analyst
2023,MI,FT,300000,US,0,US,Machine Learning
2023,MI,FT,300000,US,0,US,Machine Learning
2023,MI,FT,300000,QA,100,QA,Machine Learning
2023,SE,FT,300000,US,0,US,Data Scientist
2023,SE,FT,300000,US,0,US,Data Scientist
2023,SE,FT,300000,US,0,US,Data Engineer
2023,SE,FT,300000,US,0,US,Machine Learning
2023,MI,FT,300000,GB,0,GB,Machine Learning
2020,EX,FT,300000,US,100,US,Leadership & Management
2023,MI,FT,300000,AU,0,AU,Machine Learning
2023,SE,CT,323905,FR,100,US,Data Analyst
2023,MI,FT,300000,US,0,US,Machine Learning
2023,SE,FT,300000,US,0,US,Data Engineer
2023,SE,FT,300000,US,0,US,Data Engineer
2023,EX,FT,300000,US,0,US,Data Scientist
2022,SE,FT,300000,US,0,US,Data Engineer
2022,SE,FT,300000,US,100,US,Research & Science
2022,SE,FT,300000,US,0,US,Data Engineer
2022,SE,FT,300000,US,0,US,Data Engineer
2022,SE,FT,300000,US,0,US,Data Engineer
2022,SE,FT,300000,US,100,US,Data Management
2020,EN,FT,45896,DK,50,DK,AI Specialist
2024,SE,FT,299792,US,0,US,Software & Data Architecture
2023,SE,FT,299500,US,0,US,Data Management
2023,EX,FT,299500,US,100,US,Data Scientist
2023,SE,FT,299500,US,0,US,Data Management
2023,SE,FT,299500,US,0,US,Data Management
2023,SE,FT,299500,US,0,US,Data Management
2023,SE,FT,299500,US,0,US,Data Management
2023,SE,FT,299500,US,0,US,Data Management
2023,SE,FT,299500,US,0,US,Data Management
2023,SE,FT,299500,US,0,US,Data Management
2022,SE,FT,299500,US,0,US,Data Management
2023,SE,FT,299000,US,0,US,Machine Learning
2022,EX,FT,297500,US,100,US,Data Engineer
2023,SE,FT,297300,US,100,US,Data Scientist
2023,SE,FT,297300,US,100,US,Data Management
2023,SE,FT,297300,US,100,US,Machine Learning
2023,SE,FT,297300,US,100,US,Machine Learning
2023,SE,FT,297300,US,100,US,Data Scientist
2023,SE,FT,297300,US,100,US,Data Scientist
2023,SE,FT,297300,US,100,US,Machine Learning
2023,SE,FT,297300,US,100,US,Machine Learning
2023,SE,FT,297300,US,100,US,Data Scientist
2023,SE,FT,297300,US,100,US,Data Scientist
2023,SE,FT,297300,US,100,US,Data Management
2023,SE,FT,297300,US,100,US,Data Scientist
