job_category,work_year,experience_level,work_year_x_exp,work_year_squared,work_year_log,avg_salary_usd
AI Research,2025,MI,0,4100625,7.613818684808629,252281.45
AI Research,2026,MI,0,4104676,7.614312146452,252281.45
AI Research,2027,MI,0,4108729,7.614805364711073,252281.45
AI Research,2025,SE,2025,4100625,7.613818684808629,207483.11
AI Research,2026,SE,2026,4104676,7.614312146452,207483.11
AI Research,2027,SE,2027,4108729,7.614805364711073,207483.11
AI Research,2025,EN,4050,4100625,7.613818684808629,164502.17
AI Research,2026,EN,4052,4104676,7.614312146452,164502.17
AI Research,2027,EN,4054,4108729,7.614805364711073,164502.17
AI Research,2025,EX,6075,4100625,7.613818684808629,196817.61
AI Research,2026,EX,6078,4104676,7.614312146452,196817.61
AI Research,2027,EX,6081,4108729,7.614805364711073,196817.61
AI Specialist,2025,MI,0,4100625,7.613818684808629,199929.19
AI Specialist,2026,MI,0,4104676,7.614312146452,199929.19
AI Specialist,2027,MI,0,4108729,7.614805364711073,199929.19
AI Specialist,2025,SE,2025,4100625,7.613818684808629,183297.14
AI Specialist,2026,SE,2026,4104676,7.614312146452,183297.14
AI Specialist,2027,SE,2027,4108729,7.614805364711073,183297.14
AI Specialist,2025,EN,4050,4100625,7.613818684808629,112771.22
AI Specialist,2026,EN,4052,4104676,7.614312146452,112771.22
AI Specialist,2027,EN,4054,4108729,7.614805364711073,112771.22
AI Specialist,2025,EX,6075,4100625,7.613818684808629,183757.22
AI Specialist,2026,EX,6078,4104676,7.614312146452,183757.22
AI Specialist,2027,EX,6081,4108729,7.614805364711073,183757.22
BI & Analytics,2025,MI,0,4100625,7.613818684808629,150528.22
BI & Analytics,2026,MI,0,4104676,7.614312146452,150528.22
BI & Analytics,2027,MI,0,4108729,7.614805364711073,150528.22
BI & Analytics,2025,SE,2025,4100625,7.613818684808629,164166.1
BI & Analytics,2026,SE,2026,4104676,7.614312146452,164166.1
BI & Analytics,2027,SE,2027,4108729,7.614805364711073,164166.1
BI & Analytics,2025,EN,4050,4100625,7.613818684808629,109348.555
BI & Analytics,2026,EN,4052,4104676,7.614312146452,109348.555
BI & Analytics,2027,EN,4054,4108729,7.614805364711073,109348.555
BI & Analytics,2025,EX,6075,4100625,7.613818684808629,194246.05
BI & Analytics,2026,EX,6078,4104676,7.614312146452,194246.05
BI & Analytics,2027,EX,6081,4108729,7.614805364711073,194246.05
Business Intelligence,2025,MI,0,4100625,7.613818684808629,111958.65
Business Intelligence,2026,MI,0,4104676,7.614312146452,111958.65
Business Intelligence,2027,MI,0,4108729,7.614805364711073,111958.65
Business Intelligence,2025,SE,2025,4100625,7.613818684808629,132282.16
Business Intelligence,2026,SE,2026,4104676,7.614312146452,132282.16
Business Intelligence,2027,SE,2027,4108729,7.614805364711073,132282.16
Business Intelligence,2025,EN,4050,4100625,7.613818684808629,108705.08
Business Intelligence,2026,EN,4052,4104676,7.614312146452,108705.08
Business Intelligence,2027,EN,4054,4108729,7.614805364711073,108705.08
Business Intelligence,2025,EX,6075,4100625,7.613818684808629,137178.66
Business Intelligence,2026,EX,6078,4104676,7.614312146452,137178.66
Business Intelligence,2027,EX,6081,4108729,7.614805364711073,137178.66
Computer Vision & Deep Learning,2025,MI,0,4100625,7.613818684808629,132709.9
Computer Vision & Deep Learning,2026,MI,0,4104676,7.614312146452,132709.9
Computer Vision & Deep Learning,2027,MI,0,4108729,7.614805364711073,132709.9
Computer Vision & Deep Learning,2025,SE,2025,4100625,7.613818684808629,176167.27
Computer Vision & Deep Learning,2026,SE,2026,4104676,7.614312146452,176167.27
Computer Vision & Deep Learning,2027,SE,2027,4108729,7.614805364711073,176167.27
Computer Vision & Deep Learning,2025,EN,4050,4100625,7.613818684808629,152776.81
Computer Vision & Deep Learning,2026,EN,4052,4104676,7.614312146452,152776.81
Computer Vision & Deep Learning,2027,EN,4054,4108729,7.614805364711073,152776.81
Computer Vision & Deep Learning,2025,EX,6075,4100625,7.613818684808629,143314.48
Computer Vision & Deep Learning,2026,EX,6078,4104676,7.614312146452,143314.48
Computer Vision & Deep Learning,2027,EX,6081,4108729,7.614805364711073,143314.48
Consulting & Strategy,2025,MI,0,4100625,7.613818684808629,93912.36
Consulting & Strategy,2026,MI,0,4104676,7.614312146452,93912.36
Consulting & Strategy,2027,MI,0,4108729,7.614805364711073,93912.36
Consulting & Strategy,2025,SE,2025,4100625,7.613818684808629,119295.33
Consulting & Strategy,2026,SE,2026,4104676,7.614312146452,119295.33
Consulting & Strategy,2027,SE,2027,4108729,7.614805364711073,119295.33
Consulting & Strategy,2025,EN,4050,4100625,7.613818684808629,87313.555
Consulting & Strategy,2026,EN,4052,4104676,7.614312146452,87313.555
Consulting & Strategy,2027,EN,4054,4108729,7.614805364711073,87313.555
Consulting & Strategy,2025,EX,6075,4100625,7.613818684808629,117628.125
Consulting & Strategy,2026,EX,6078,4104676,7.614312146452,117628.125
Consulting & Strategy,2027,EX,6081,4108729,7.614805364711073,117628.125
Data Analyst,2025,MI,0,4100625,7.613818684808629,104504.336
Data Analyst,2026,MI,0,4104676,7.614312146452,104504.336
Data Analyst,2027,MI,0,4108729,7.614805364711073,104504.336
Data Analyst,2025,SE,2025,4100625,7.613818684808629,130146.69
Data Analyst,2026,SE,2026,4104676,7.614312146452,130146.69
Data Analyst,2027,SE,2027,4108729,7.614805364711073,130146.69
Data Analyst,2025,EN,4050,4100625,7.613818684808629,94238.08
Data Analyst,2026,EN,4052,4104676,7.614312146452,94238.08
Data Analyst,2027,EN,4054,4108729,7.614805364711073,94238.08
Data Analyst,2025,EX,6075,4100625,7.613818684808629,124552.65
Data Analyst,2026,EX,6078,4104676,7.614312146452,124552.65
Data Analyst,2027,EX,6081,4108729,7.614805364711073,124552.65
Data Engineer,2025,MI,0,4100625,7.613818684808629,133238.28
Data Engineer,2026,MI,0,4104676,7.614312146452,133238.28
Data Engineer,2027,MI,0,4108729,7.614805364711073,133238.28
Data Engineer,2025,SE,2025,4100625,7.613818684808629,155435.23
Data Engineer,2026,SE,2026,4104676,7.614312146452,155435.23
Data Engineer,2027,SE,2027,4108729,7.614805364711073,155435.23
Data Engineer,2025,EN,4050,4100625,7.613818684808629,120713.266
Data Engineer,2026,EN,4052,4104676,7.614312146452,120713.266
Data Engineer,2027,EN,4054,4108729,7.614805364711073,120713.266
Data Engineer,2025,EX,6075,4100625,7.613818684808629,188888.38
Data Engineer,2026,EX,6078,4104676,7.614312146452,188888.38
Data Engineer,2027,EX,6081,4108729,7.614805364711073,188888.38
Data Management,2025,MI,0,4100625,7.613818684808629,208944.44
Data Management,2026,MI,0,4104676,7.614312146452,208944.44
Data Management,2027,MI,0,4108729,7.614805364711073,208944.44
Data Management,2025,SE,2025,4100625,7.613818684808629,229107.3
Data Management,2026,SE,2026,4104676,7.614312146452,229107.3
Data Management,2027,SE,2027,4108729,7.614805364711073,229107.3
Data Management,2025,EN,4050,4100625,7.613818684808629,161641.62
Data Management,2026,EN,4052,4104676,7.614312146452,161641.62
Data Management,2027,EN,4054,4108729,7.614805364711073,161641.62
Data Management,2025,EX,6075,4100625,7.613818684808629,254784.53
Data Management,2026,EX,6078,4104676,7.614312146452,254784.53
Data Management,2027,EX,6081,4108729,7.614805364711073,254784.53
Data Operations,2025,MI,0,4100625,7.613818684808629,212775.36
Data Operations,2026,MI,0,4104676,7.614312146452,212775.36
Data Operations,2027,MI,0,4108729,7.614805364711073,212775.36
Data Operations,2025,SE,2025,4100625,7.613818684808629,232938.22
Data Operations,2026,SE,2026,4104676,7.614312146452,232938.22
Data Operations,2027,SE,2027,4108729,7.614805364711073,232938.22
Data Operations,2025,EN,4050,4100625,7.613818684808629,166954.31
Data Operations,2026,EN,4052,4104676,7.614312146452,166954.31
Data Operations,2027,EN,4054,4108729,7.614805364711073,166954.31
Data Operations,2025,EX,6075,4100625,7.613818684808629,261294.78
Data Operations,2026,EX,6078,4104676,7.614312146452,261294.78
Data Operations,2027,EX,6081,4108729,7.614805364711073,261294.78
Data Scientist,2025,MI,0,4100625,7.613818684808629,148219.61
Data Scientist,2026,MI,0,4104676,7.614312146452,148219.61
Data Scientist,2027,MI,0,4108729,7.614805364711073,148219.61
Data Scientist,2025,SE,2025,4100625,7.613818684808629,169879.25
Data Scientist,2026,SE,2026,4104676,7.614312146452,169879.25
Data Scientist,2027,SE,2027,4108729,7.614805364711073,169879.25
Data Scientist,2025,EN,4050,4100625,7.613818684808629,105365.13
Data Scientist,2026,EN,4052,4104676,7.614312146452,105365.13
Data Scientist,2027,EN,4054,4108729,7.614805364711073,105365.13
Data Scientist,2025,EX,6075,4100625,7.613818684808629,201352.72
Data Scientist,2026,EX,6078,4104676,7.614312146452,201352.72
Data Scientist,2027,EX,6081,4108729,7.614805364711073,201352.72
Leadership & Management,2025,MI,0,4100625,7.613818684808629,198392.67
Leadership & Management,2026,MI,0,4104676,7.614312146452,198392.67
Leadership & Management,2027,MI,0,4108729,7.614805364711073,198392.67
Leadership & Management,2025,SE,2025,4100625,7.613818684808629,193675.52
Leadership & Management,2026,SE,2026,4104676,7.614312146452,193675.52
Leadership & Management,2027,SE,2027,4108729,7.614805364711073,193675.52
Leadership & Management,2025,EN,4050,4100625,7.613818684808629,133820.61
Leadership & Management,2026,EN,4052,4104676,7.614312146452,133820.61
Leadership & Management,2027,EN,4054,4108729,7.614805364711073,133820.61
Leadership & Management,2025,EX,6075,4100625,7.613818684808629,243104.92
Leadership & Management,2026,EX,6078,4104676,7.614312146452,243104.92
Leadership & Management,2027,EX,6081,4108729,7.614805364711073,243104.92
MLOps & Infrastructure,2025,MI,0,4100625,7.613818684808629,199276.64
MLOps & Infrastructure,2026,MI,0,4104676,7.614312146452,199276.64
MLOps & Infrastructure,2027,MI,0,4108729,7.614805364711073,199276.64
MLOps & Infrastructure,2025,SE,2025,4100625,7.613818684808629,192559.92
MLOps & Infrastructure,2026,SE,2026,4104676,7.614312146452,192559.92
MLOps & Infrastructure,2027,SE,2027,4108729,7.614805364711073,192559.92
MLOps & Infrastructure,2025,EN,4050,4100625,7.613818684808629,132705.02
MLOps & Infrastructure,2026,EN,4052,4104676,7.614312146452,132705.02
MLOps & Infrastructure,2027,EN,4054,4108729,7.614805364711073,132705.02
MLOps & Infrastructure,2025,EX,6075,4100625,7.613818684808629,215981.38
MLOps & Infrastructure,2026,EX,6078,4104676,7.614312146452,215981.38
MLOps & Infrastructure,2027,EX,6081,4108729,7.614805364711073,215981.38
Machine Learning,2025,MI,0,4100625,7.613818684808629,183661.47
Machine Learning,2026,MI,0,4104676,7.614312146452,183661.47
Machine Learning,2027,MI,0,4108729,7.614805364711073,183661.47
Machine Learning,2025,SE,2025,4100625,7.613818684808629,205660.73
Machine Learning,2026,SE,2026,4104676,7.614312146452,205660.73
Machine Learning,2027,SE,2027,4108729,7.614805364711073,205660.73
Machine Learning,2025,EN,4050,4100625,7.613818684808629,147465.19
Machine Learning,2026,EN,4052,4104676,7.614312146452,147465.19
