work_year,experience_level,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2025,MI,Research Scientist,208000,US,0,US,M
2025,MI,Research Scientist,147000,US,0,US,M
2025,SE,Research Scientist,173000,US,0,US,M
2025,SE,Research Scientist,117000,US,0,US,M
2025,SE,Manager,293000,US,0,US,M
2025,SE,Manager,213000,US,0,US,M
2025,SE,Software Engineer,180000,US,0,US,M
2025,SE,Software Engineer,145000,US,0,US,M
2025,EN,Data Scientist,120000,US,100,US,M
2025,EN,Data Scientist,100000,US,100,US,M
2025,MI,Manager,329600,US,0,US,M
2025,MI,Manager,190700,US,0,US,M
2025,SE,Research Engineer,296300,US,0,US,M
2025,SE,Research Engineer,166600,US,0,US,M
2025,SE,Manager,211000,US,0,US,M
2025,SE,Manager,142000,US,0,US,M
2025,SE,Machine Learning Engineer,310000,US,0,US,M
2025,SE,Machine Learning Engineer,160000,US,0,US,M
2025,EN,Data Analyst,86100,US,0,US,M
2025,EN,Data Analyst,75000,US,0,US,M
2025,MI,Data Analyst,90000,US,100,US,M
2025,MI,Data Analyst,75000,US,100,US,M
2025,SE,Data Architect,218657,US,100,US,M
2025,SE,Data Architect,149084,US,100,US,M
2025,MI,Data Engineer,222000,US,100,US,M
2025,MI,Data Engineer,98000,US,100,US,M
2025,SE,Data Engineer,163695,US,100,US,M
2025,SE,Data Engineer,109000,US,100,US,M
2025,SE,Software Engineer,179000,US,100,US,M
2025,SE,Software Engineer,102400,US,100,US,M
2025,SE,Software Engineer,180000,US,0,US,M
2025,SE,Software Engineer,135600,US,0,US,M
2025,SE,Research Scientist,173000,US,0,US,M
2025,SE,Research Scientist,117000,US,0,US,M
2025,EX,Analyst,300000,US,0,US,M
2025,EX,Analyst,170000,US,0,US,M
2025,SE,Software Engineer,250000,US,0,US,M
2025,SE,Software Engineer,150000,US,0,US,M
2025,SE,Engineer,249000,US,0,US,M
2025,SE,Engineer,173000,US,0,US,M
2025,SE,Software Engineer,250200,US,0,US,M
2025,SE,Software Engineer,117200,US,0,US,M
2025,SE,Engineer,312800,US,0,US,M
2025,SE,Engineer,217600,US,0,US,M
2025,MI,Software Engineer,208800,US,0,US,M
2025,MI,Software Engineer,98300,US,0,US,M
2025,MI,Analyst,180060,US,100,US,M
2025,MI,Analyst,120000,US,100,US,M
2025,SE,Manager,244000,US,0,US,M
2025,SE,Manager,111000,US,0,US,M
2025,SE,Data Scientist,282500,US,0,US,M
2025,SE,Data Scientist,207500,US,0,US,M
2025,SE,Data Engineer,243000,US,0,US,M
2025,SE,Data Engineer,127900,US,0,US,M
2025,MI,Data Engineer,88000,US,0,US,M
2025,MI,Data Engineer,56000,US,0,US,M
2025,SE,Software Engineer,176784,US,0,US,M
2025,SE,Software Engineer,117864,US,0,US,M
2025,EN,Data Analyst,48000,US,0,US,M
2025,EN,Data Analyst,42000,US,0,US,M
2025,SE,Data Analyst,234000,US,0,US,M
2025,SE,Data Analyst,146000,US,0,US,M
2025,EN,Data Analyst,102892,CA,0,CA,M
2025,EN,Data Analyst,81359,CA,0,CA,M
2025,SE,Data Analyst,194000,US,0,US,M
2025,SE,Data Analyst,116000,US,0,US,M
2025,MI,Software Engineer,268700,US,0,US,M
2025,MI,Software Engineer,130500,US,0,US,M
2025,MI,Manager,155700,CA,0,CA,M
2025,MI,Manager,84900,CA,0,CA,M
2025,SE,Analytics Engineer,140000,US,0,US,M
2025,SE,Analytics Engineer,120000,US,0,US,M
2025,SE,Data Engineer,223600,US,0,US,M
2025,SE,Data Engineer,152200,US,0,US,M
2025,MI,Data Engineer,123400,US,0,US,M
2025,MI,Data Engineer,60500,US,0,US,M
2025,SE,Analyst,230261,US,100,US,M
2025,SE,Analyst,78947,US,100,US,M
2025,SE,Analyst,210000,US,0,US,M
2025,SE,Analyst,125000,US,0,US,M
2025,SE,Analytics Engineer,190300,US,0,US,M
2025,SE,Analytics Engineer,129750,US,0,US,M
2025,SE,Manager,250000,US,100,US,M
2025,SE,Manager,188000,US,100,US,M
2025,SE,Manager,201400,US,0,US,M
2025,SE,Manager,120800,US,0,US,M
2025,SE,Machine Learning Engineer,414000,US,0,US,M
2025,SE,Machine Learning Engineer,235000,US,0,US,M
2025,EN,Data Analyst,21006,FR,0,FR,M
2025,EN,Data Analyst,18644,FR,0,FR,M
2025,MI,Associate,150000,US,0,US,M
2025,MI,Associate,114000,US,0,US,M
2025,SE,Data Scientist,249700,CA,100,CA,M
2025,SE,Data Scientist,166500,CA,100,CA,M
2025,MI,Data Scientist,231250,US,0,US,M
2025,MI,Data Scientist,111000,US,0,US,M
2025,SE,Data Scientist,270250,US,0,US,M
2025,SE,Data Scientist,199750,US,0,US,M
2025,SE,Software Engineer,230000,US,100,US,M
2025,SE,Software Engineer,80000,US,100,US,M
2025,SE,Data Scientist,143000,US,0,US,M
2025,SE,Data Scientist,104000,US,0,US,M
2025,SE,Engineer,221700,US,0,US,M
2025,SE,Engineer,130400,US,0,US,M
2025,SE,Engineer,260000,US,0,US,M
2025,SE,Engineer,130000,US,0,US,M
2025,SE,Data Scientist,234000,US,0,US,M
2025,SE,Data Scientist,117000,US,0,US,M
2025,SE,Manager,220300,US,0,US,M
2025,SE,Manager,175500,US,0,US,M
2025,SE,Data Analyst,132200,US,100,US,M
2025,SE,Data Analyst,115900,US,100,US,M
2025,SE,Data Analyst,145500,US,0,US,M
2025,SE,Data Analyst,115900,US,0,US,M
2025,SE,Data Engineer,205270,CA,0,CA,M
2025,SE,Data Engineer,110530,CA,0,CA,M
2025,SE,Data Engineer,219400,US,0,US,M
2025,SE,Data Engineer,131600,US,0,US,M
2025,SE,Data Engineer,180000,US,0,US,M
2025,SE,Data Engineer,90000,US,0,US,M
2025,SE,Analyst,159850,US,0,US,M
2025,SE,Analyst,118150,US,0,US,M
2025,SE,Data Scientist,197400,US,0,US,M
2025,SE,Data Scientist,158600,US,0,US,M
2025,SE,Analyst,145000,US,0,US,M
2025,SE,Analyst,115000,US,0,US,M
2025,SE,Manager,190000,US,0,US,M
2025,SE,Manager,152000,US,0,US,M
2025,MI,Software Engineer,193000,US,0,US,M
2025,MI,Software Engineer,84600,US,0,US,M
2025,SE,Data Scientist,220000,US,0,US,M
2025,SE,Data Scientist,96600,US,0,US,M
2025,MI,Data Scientist,172000,US,0,US,M
2025,MI,Data Scientist,75600,US,0,US,M
2025,MI,Manager,115000,US,0,US,M
2025,MI,Manager,90000,US,0,US,M
2025,MI,Software Engineer,370000,US,0,US,M
2025,MI,Software Engineer,200000,US,0,US,M
2025,MI,Manager,170000,US,0,US,M
2025,MI,Manager,116000,US,0,US,M
2025,MI,Research Engineer,208000,US,0,US,M
2025,MI,Research Engineer,141340,US,0,US,M
2025,SE,Software Engineer,250600,US,0,US,M
2025,SE,Software Engineer,135400,US,0,US,M
2025,SE,Product Manager,197100,US,100,US,M
2025,SE,Product Manager,115900,US,100,US,M
2025,MI,Data Scientist,176000,US,0,US,M
2025,MI,Data Scientist,124000,US,0,US,M
2025,MI,Data Scientist,153000,US,0,US,M
2025,MI,Data Scientist,113357,US,0,US,M
2025,SE,Data Scientist,230000,US,0,US,M
2025,SE,Data Scientist,200000,US,0,US,M
2025,MI,Data Scientist,88421,LT,0,LT,M
2025,MI,Data Scientist,50526,LT,0,LT,M
2025,MI,Associate,220000,US,0,US,M
2025,MI,Associate,200000,US,0,US,M
2025,SE,Software Engineer,168800,US,0,US,M
2025,SE,Software Engineer,135000,US,0,US,M
2025,MI,Research Scientist,173000,US,0,US,M
2025,MI,Research Scientist,117000,US,0,US,M
2025,MI,Associate,253500,US,0,US,M
2025,MI,Associate,190000,US,0,US,M
2025,SE,Research Engineer,250600,US,0,US,M
2025,SE,Research Engineer,135400,US,0,US,M
2025,MI,Data Engineer,80000,US,0,US,M
2025,MI,Data Engineer,80000,US,0,US,M
2025,MI,Software Engineer,180000,US,0,US,M
2025,MI,Software Engineer,140000,US,0,US,M
2025,EN,Data Analyst,100000,US,0,US,M
2025,EN,Data Analyst,85000,US,0,US,M
2025,MI,Applied Scientist,158200,US,0,US,M
2025,MI,Applied Scientist,79100,US,0,US,M
2025,MI,Applied Scientist,208800,US,0,US,M
2025,MI,Applied Scientist,98300,US,0,US,M
2025,SE,Software Engineer,284000,US,0,US,M
2025,SE,Software Engineer,189000,US,0,US,M
2025,MI,Software Engineer,200000,US,100,US,M
2025,MI,Software Engineer,175000,US,100,US,M
2025,SE,Software Engineer,223400,US,0,US,M
2025,SE,Software Engineer,96800,US,0,US,M
2025,SE,Research Scientist,125000,US,0,US,M
2025,SE,Research Scientist,90000,US,0,US,M
2025,SE,Analyst,110000,US,0,US,M
2025,SE,Analyst,80000,US,0,US,M
2025,SE,Engineer,95000,US,0,US,M
2025,SE,Engineer,75000,US,0,US,M
2025,EN,Software Engineer,44000,US,0,US,M
2025,EN,Software Engineer,44000,US,0,US,M
2025,SE,Software Engineer,200000,US,0,US,M
2025,SE,Software Engineer,150000,US,0,US,M
2025,SE,Product Manager,294000,US,0,US,M
2025,SE,Product Manager,137600,US,0,US,M
2025,MI,Product Manager,294000,US,0,US,M
2025,MI,Product Manager,117200,US,0,US,M
2025,MI,Research Scientist,355000,US,0,US,M
2025,MI,Research Scientist,194000,US,0,US,M
2025,MI,Machine Learning Engineer,169050,US,0,US,M
2025,MI,Machine Learning Engineer,124950,US,0,US,M
2025,SE,Data Scientist,173240,US,100,US,M
2025,SE,Data Scientist,156160,US,100,US,M
2025,MI,Data Scientist,139475,US,100,US,M
2025,MI,Data Scientist,125724,US,100,US,M
2025,SE,Data Scientist,271910,US,100,US,M
2025,SE,Data Scientist,164850,US,100,US,M
2025,SE,Data Engineer,140000,US,0,US,M
2025,SE,Data Engineer,90732,US,0,US,M
2025,SE,Data Engineer,200700,US,0,US,M
2025,SE,Data Engineer,120400,US,0,US,M
2025,SE,Data Engineer,237908,US,0,US,M
2025,SE,Data Engineer,175845,US,0,US,M
2025,SE,Data Analyst,120000,US,0,US,M
2025,SE,Data Analyst,95000,US,0,US,M
2025,SE,Analyst,117500,US,100,US,M
2025,SE,Analyst,97000,US,100,US,M
2025,SE,Analyst,117500,US,100,US,M
2025,SE,Analyst,97000,US,100,US,M
2025,SE,Research Scientist,199452,US,100,US,M
2025,SE,Research Scientist,105245,US,100,US,M
2025,SE,Software Engineer,170000,US,0,US,M
2025,SE,Software Engineer,135000,US,0,US,M
2025,SE,Engineer,189175,US,0,US,M
2025,SE,Engineer,104650,US,0,US,M
2025,SE,Manager,228000,CA,0,CA,M
2025,SE,Manager,123000,CA,0,CA,M
2025,EN,Analyst,150000,US,0,US,M
2025,EN,Analyst,88800,US,0,US,M
2025,SE,Manager,138765,US,0,US,M
2025,SE,Manager,104025,US,0,US,M
2025,MI,Associate,160000,US,0,US,M
2025,MI,Associate,105000,US,0,US,M
2025,SE,Software Engineer,227500,US,100,US,M
2025,SE,Software Engineer,147500,US,100,US,M
2025,SE,Data Engineer,159000,US,0,US,M
2025,SE,Data Engineer,132500,US,0,US,M
2025,SE,Engineer,205000,US,0,US,M
2025,SE,Engineer,128000,US,0,US,M
2025,EN,Analyst,98000,US,0,US,M
2025,EN,Analyst,89000,US,0,US,M
2025,SE,Manager,161600,US,100,US,M
2025,SE,Manager,92300,US,100,US,M
2025,MI,Data Analyst,127800,US,0,US,M
2025,MI,Data Analyst,95300,US,0,US,M
2025,SE,Data Scientist,232900,US,100,US,M
2025,SE,Data Scientist,130800,US,100,US,M
2025,EN,Data Analyst,180379,GB,0,GB,M
