job_category,work_year,experience_level,avg_salary_usd
AI Research,2022,MI,240000.0
AI Research,2022,SE,199837.5
AI Research,2023,EN,156937.5
AI Research,2023,MI,159959.33333333334
AI Research,2023,SE,194935.14545454545
AI Research,2024,EN,153325.0
AI Research,2024,MI,261138.85714285713
AI Research,2024,SE,209463.65384615384
AI Specialist,2022,EN,50000.0
AI Specialist,2022,EX,200000.0
AI Specialist,2022,MI,160000.0
AI Specialist,2023,EN,130000.0
AI Specialist,2023,MI,170000.0
AI Specialist,2023,SE,233235.29411764705
AI Specialist,2024,SE,217061.76470588235
BI & Analytics,2021,MI,110000.0
BI & Analytics,2022,EN,103000.0
BI & Analytics,2022,EX,171166.66666666666
BI & Analytics,2022,MI,114928.57142857143
BI & Analytics,2022,SE,155860.29411764705
BI & Analytics,2023,EN,112412.5
BI & Analytics,2023,EX,200666.66666666666
BI & Analytics,2023,MI,146890.69444444444
BI & Analytics,2023,SE,162746.18994413406
BI & Analytics,2024,EN,106155.55555555556
BI & Analytics,2024,MI,146882.40740740742
BI & Analytics,2024,SE,173601.75
Business Intelligence,2022,SE,130000.0
Business Intelligence,2023,EN,100650.0
Business Intelligence,2023,EX,209850.0
Business Intelligence,2023,MI,112540.625
Business Intelligence,2023,SE,150720.30487804877
Business Intelligence,2024,EX,137625.0
Business Intelligence,2024,MI,116275.35294117648
Business Intelligence,2024,SE,119812.65909090909
Computer Vision & Deep Learning,2022,EN,125000.0
Computer Vision & Deep Learning,2023,EN,163333.33333333334
Computer Vision & Deep Learning,2023,MI,125000.0
Computer Vision & Deep Learning,2023,SE,243907.36842105264
Computer Vision & Deep Learning,2024,SE,205750.0
Consulting & Strategy,2022,MI,113000.0
Consulting & Strategy,2023,MI,84750.0
Consulting & Strategy,2023,SE,112300.71428571429
Consulting & Strategy,2024,MI,91492.5
Data Analyst,2020,EN,81500.0
Data Analyst,2020,MI,100000.0
Data Analyst,2021,EN,67000.0
Data Analyst,2021,MI,90714.28571428571
Data Analyst,2021,SE,163750.0
Data Analyst,2022,EN,68583.33333333333
Data Analyst,2022,EX,120000.0
